Chemical Formula X2YZ,X,Y,Z,Structure Type,Total Energy Difference (eV),Formation Energy (eV),Lattice Constant (Ang),Anomalous Hall Conductivity (S/cm),Curie Temperature (K),Fermi Level (eV),Polarization,Magnetic Moments of X1 (muB),Magnetic Moments of X2 (muB),Magnetic Moments of Y (muB),Magnetic Moments of Z (muB),Total Magnetic Moments (muB),Number of Valence Electrons
Fe2ZnAl,Fe,Zn,Al,l21,0.562817,-0.0431035,5.788009829,250.8807,135.002,8.2728,0.858783,1.429,1.429,-0.034,-0.055,2.769,21
Fe2ZnAs,Fe,Zn,As,l21,1.073516,0.1145365,5.744952683,318.0971,0,8.8999,0.377351,0.07,0.07,-0.002,-0.005,0.133,23
Fe2ZnB,Fe,Zn,B,l21,0.319399,0.31628025,5.4242939,144.7121,715.502,8.4536,0.665893,1.342,1.342,-0.013,-0.107,2.564,21
Fe2ZnBi,Fe,Zn,Bi,l21,0.830559,0.49816775,6.314802967,503.4152,364.502,8.1671,0.716808,2.205,2.205,-0.081,-0.105,4.224,23
Fe2ZnGa,Fe,Zn,Ga,xa,-0.060158,0.01534025,5.87169026,411.3241,250.502,6.8214,0.304784,2.28,2.036,-0.036,-0.075,4.205,21
Fe2ZnGe,Fe,Zn,Ge,l21,0.902772,0.063778,5.757718789,23.6853,0,8.1549,0.729906,0.747,0.747,-0.019,-0.058,1.417,22
Fe2ZnIn,Fe,Zn,In,l21,0.544641,0.24537025,6.14823548,298.4886,576.002,7.2425,0.761752,2.351,2.351,-0.06,-0.147,4.495,21
Fe2ZnPb,Fe,Zn,Pb,l21,0.785166,0.49065725,6.265882492,273.2725,403.502,7.3483,0.758905,2.307,2.307,-0.061,-0.111,4.442,22
Fe2ZnSb,Fe,Zn,Sb,l21,1.143108,0.20047275,5.9784351,963.5717,0,9.8315,0.355499,0.033,0.033,-0.002,-0.003,0.061,23
Fe2ZnSi,Fe,Zn,Si,l21,0.520196,-0.13414825,5.63798157,60.9004,91.5015,9.4196,0.638743,0.69,0.69,-0.008,-0.042,1.33,22
Fe2ZnSn,Fe,Zn,Sn,l21,0.702738,0.20754375,6.10514015,290.4699,354.002,7.8334,0.570561,2.035,2.035,-0.059,-0.135,3.876,22
Fe2ZrAl,Fe,Zr,Al,l21,1.664612,-0.324837,6.040743935,48.2661,48.0015,9.8849,0.806428,0.544,0.544,-0.119,-0.013,0.956,23
Fe2ZrAs,Fe,Zr,As,l21,0.917896,-0.1881325,6.011273139,169.3592,105.002,11.0832,0.982348,0.628,0.628,-0.148,-0.002,1.106,25
Fe2ZrB,Fe,Zr,B,xa,-0.030111,0.1648995,5.859119316,103.9634,709.502,9.7127,0.323907,2.236,2.204,-0.018,0.009,4.431,23
Fe2ZrBi,Fe,Zr,Bi,l21,1.220135,0.132427,6.434308256,160.0127,397.502,10.2986,0.428096,1.776,1.776,-0.399,-0.034,3.119,25
Fe2ZrGa,Fe,Zr,Ga,l21,1.191906,-0.24553825,6.040770805,63.3756,0,8.7429,0.9515,0.557,0.557,-0.133,-0.038,0.943,23
Fe2ZrGe,Fe,Zr,Ge,l21,1.426543,-0.32482,6.005942968,0,0,10.3967,0.031474,0,0,0.001,0,0.001,24
Fe2ZrIn,Fe,Zr,In,l21,1.283179,-0.02932425,6.361818497,78.3525,0,8.8868,0.628878,1.997,1.997,-0.451,-0.118,3.425,23
Fe2ZrPb,Fe,Zr,Pb,l21,1.160904,0.14770425,6.422478359,78.956,0,9.2378,0.614624,1.87,1.87,-0.438,-0.07,3.232,24
Fe2ZrSb,Fe,Zr,Sb,l21,1.489531,-0.1922175,6.228813126,210.581,0,11.6811,0.916665,0.661,0.661,-0.161,-0.014,1.147,25
Fe2ZrSi,Fe,Zr,Si,l21,1.729819,-0.4689215,5.920305266,4.8458,0,11.3048,0.038685,0.001,0.001,-0.001,0,0.001,24
Fe2ZrSn,Fe,Zr,Sn,l21,1.653209,-0.2226115,6.230460685,0.1574,0,10.1406,0.045795,0.001,0.001,-0.001,0,0.001,24
Mn2AgAl,Mn,Ag,Al,xa,-0.395329,-0.01480575,6.167272208,52.1504,1038,9.0563,0.6841,3.346,-3.07,0.011,0.004,0.291,18
Mn2AgAs,Mn,Ag,As,l21,0.217488,0.15979675,6.293951802,607.501,0,8.6636,0.669923,3.453,3.453,0.053,-0.061,6.898,20
Mn2AgB,Mn,Ag,B,xa,-0.240185,0.5726725,5.820777158,45.634,0,9.2604,0.374452,3.25,-2.823,0.031,0.037,0.495,18
Mn2AgBi,Mn,Ag,Bi,l21,0.155808,0.3330365,6.661404084,778.2782,561.002,8.5787,0.661826,3.562,3.562,0.027,-0.117,7.034,20
Mn2AgGa,Mn,Ag,Ga,xa,-0.242831,0.0299645,6.195197269,37.7433,978.002,7.7528,0.207585,3.492,-3.193,0.021,0.012,0.332,18
Mn2AgGe,Mn,Ag,Ge,xa,-0.018463,0.12730325,6.232945458,168.6016,400.502,8.6408,0.170217,3.548,-3.135,0.017,0.048,0.478,19
Mn2AgIn,Mn,Ag,In,xa,-0.216989,0.1165445,6.460386354,28.4969,990.002,8.0172,0.161505,3.667,-3.46,0.013,-0.011,0.209,18
Mn2AgPb,Mn,Ag,Pb,l21,0.014534,0.331717,6.630947581,70.725,204.002,7.7245,0.814706,3.672,3.672,0.038,-0.148,7.234,19
Mn2AgSb,Mn,Ag,Sb,l21,0.226445,0.18295075,6.484337475,427.6812,0,9.5927,0.763599,3.414,3.414,0.041,-0.066,6.803,20
Mn2AgSi,Mn,Ag,Si,xa,-0.078742,0.09289225,6.090419601,223.3191,573.002,9.9858,0.238014,3.355,-2.837,0.007,0.043,0.568,19
Mn2AgSn,Mn,Ag,Sn,xa,-0.053589,0.1325775,6.47105801,155.1167,0,8.5027,0.220479,3.662,-3.26,0.012,0.046,0.46,19
Mn2AuAl,Mn,Au,Al,xa,-0.47603,-0.1948355,6.186919877,139.6592,741.002,9.1634,0.470749,3.398,-3.194,0.025,0.008,0.237,18
Mn2AuAs,Mn,Au,As,l21,0.300164,0.05434025,6.326463158,520.9871,0,8.5325,0.755539,3.463,3.463,0.047,-0.1,6.873,20
Mn2AuB,Mn,Au,B,xa,-0.270627,0.4640195,5.877697839,8.3965,39.0015,9.2013,0.183365,3.323,-3.072,0.047,0.054,0.352,18
Mn2AuBi,Mn,Au,Bi,l21,0.255631,0.22104975,6.684904071,1315.0273,0,8.5048,0.617394,3.64,3.64,0.026,-0.138,7.168,20
Mn2AuGa,Mn,Au,Ga,xa,-0.2147,-0.110572,6.224960808,40.1973,721.502,7.8198,0.179993,3.508,-3.356,0.025,0.015,0.192,18
Mn2AuGe,Mn,Au,Ge,l21,0.089937,0.0142105,6.320233547,550.9007,0,8.094,0.461773,3.557,3.557,0.058,-0.105,7.067,19
Mn2AuIn,Mn,Au,In,xa,-0.140113,-0.0115945,6.477205596,25.4381,751.502,8.0986,0.064323,3.662,-3.572,0.009,-0.011,0.088,18
Mn2AuPb,Mn,Au,Pb,l21,0.185648,0.20499075,6.635293459,96.5231,0,7.7918,0.796542,3.688,3.688,0.026,-0.155,7.247,19
Mn2AuSb,Mn,Au,Sb,l21,0.281867,0.09078625,6.505252279,603.6188,0,9.4983,0.776152,3.411,3.411,0.031,-0.087,6.766,20
Mn2AuSi,Mn,Au,Si,xa,-0.119717,-0.007107,6.123222284,269.837,0,9.9236,0.107627,3.386,-2.966,0.012,0.049,0.481,19
Mn2AuSn,Mn,Au,Sn,l21,0.029341,0.035904,6.512809837,328.1388,373.502,8.1692,0.642633,3.578,3.578,0.043,-0.152,7.047,19
Mn2CdAl,Mn,Cd,Al,l21,0.024979,0.077139,6.301184091,307.8581,0,6.7713,0.130653,3.26,3.26,-0.04,-0.082,6.398,19
Mn2CdAs,Mn,Cd,As,l21,0.334996,0.23340425,6.370460756,493.6112,0,6.8197,0.717113,3.277,3.277,-0.057,-0.097,6.4,21
Mn2CdB,Mn,Cd,B,xa,-0.183322,0.660612,5.929725342,257.1086,699.002,7.0315,0.031321,3.205,-2.885,0.018,0.065,0.403,19
Mn2CdBi,Mn,Cd,Bi,l21,0.314222,0.38384525,6.815444468,1444.2645,0,6.6876,0.555508,3.566,3.566,-0.05,-0.134,6.948,21
Mn2CdGa,Mn,Cd,Ga,l21,0.046133,0.10345325,6.320104854,425.9207,0,5.6656,0.242071,3.378,3.378,-0.043,-0.154,6.559,19
Mn2CdGe,Mn,Cd,Ge,l21,0.298007,0.185947,6.35831549,106.2988,0,6.4298,0.524594,3.377,3.377,-0.028,-0.076,6.65,20
Mn2CdIn,Mn,Cd,In,l21,0.097518,0.17049075,6.562107907,133.4031,267.002,6.1693,0.271571,3.484,3.484,-0.057,-0.184,6.727,19
Mn2CdPb,Mn,Cd,Pb,l21,0.271024,0.36461925,6.740168708,513.7101,0,6.1639,0.564223,3.579,3.579,-0.052,-0.114,6.992,20
Mn2CdSb,Mn,Cd,Sb,l21,0.531219,0.2524145,6.567228774,694.7509,0,7.8456,0.763008,3.256,3.256,-0.056,-0.076,6.38,21
Mn2CdSi,Mn,Cd,Si,l21,0.349964,0.17955425,6.157553733,836.4713,40.5015,7.7646,0.437755,2.985,2.985,-0.017,-0.1,5.853,20
Mn2CdSn,Mn,Cd,Sn,l21,0.378337,0.18862225,6.565603843,268.0007,730.502,6.6394,0.708508,3.393,3.393,-0.038,-0.126,6.622,20
Mn2CoAl,Mn,Co,Al,xa,-0.669876,-0.13775425,5.720304355,6.3323,516.002,9.6188,0.054638,-0.239,-0.267,0.556,-0.003,0.047,26
Mn2CoAs,Mn,Co,As,xa,-0.313053,-0.06407525,5.727242487,15.4901,1138.5,10.5795,0.637032,2.957,-1.699,0.364,0.061,1.683,28
Mn2CoB,Mn,Co,B,xa,-0.660606,-0.04670925,5.352447609,62.4487,934.502,10.0516,0.753927,2.272,-0.9,0.664,0.004,2.04,26
Mn2CoBi,Mn,Co,Bi,xa,-0.806914,0.32807,6.267456511,38.0144,141.002,9.3463,0.139728,3.399,-3.163,0.276,0.011,0.523,28
Mn2CoGa,Mn,Co,Ga,xa,-1.503748,-0.242031,5.750868339,116.8228,627.002,8.1866,0.842009,2.802,-1.715,0.931,-0.033,1.985,26
Mn2CoGe,Mn,Co,Ge,xa,-0.914572,-0.213205,5.727103894,218.5814,462.002,9.6525,1,2.814,-0.746,0.894,0.014,2.976,27
Mn2CoIn,Mn,Co,In,xa,-0.126398,0.05907125,6.076532024,190.8876,337.502,8.4194,0.087966,3.282,-2.59,1.054,-0.03,1.716,26
Mn2CoPb,Mn,Co,Pb,xa,-0.217007,0.30110775,6.211793066,357.6253,399.002,8.4658,0.277842,3.444,-3.126,0.197,0.011,0.526,27
Mn2CoSb,Mn,Co,Sb,xa,-0.911125,0.02073875,6.056430392,25.5304,112.502,10.7149,0.299614,3.226,-2.483,0.448,0.044,1.235,28
Mn2CoSi,Mn,Co,Si,xa,-0.848044,-0.4287455,5.608495217,178.6926,471.002,11.0379,1,2.627,-0.5,0.85,0.011,2.988,27
Mn2CoSn,Mn,Co,Sn,xa,-1.37279,-0.009413,6.065863197,518.6043,676.502,8.9844,0.418775,3.22,-2.518,0.823,0.014,1.539,27
Mn2CrAl,Mn,Cr,Al,l21,0.411109,-0.22939975,5.713582598,215.7761,370.502,10.3347,0.854234,1.015,1.015,-0.964,-0.008,1.058,23
Mn2CrAs,Mn,Cr,As,xa,-0.127951,-0.11095775,5.770675814,12.4902,273.002,10.645,0.92895,2.698,-0.597,-1.18,0.065,0.986,25
Mn2CrB,Mn,Cr,B,l21,0.431381,-0.05340475,5.360853694,167.6866,0,10.8588,0.655502,0.75,0.75,-0.472,-0.026,1.002,23
Mn2CrBi,Mn,Cr,Bi,l21,0.102665,0.40978425,6.489919376,190.1117,592.502,8.7866,0.819658,3.303,3.303,-3.402,-0.041,3.163,25
Mn2CrGa,Mn,Cr,Ga,l21,0.175905,-0.120685,5.737566246,248.3107,546.002,8.9491,0.91278,1.121,1.121,-1.225,-0.005,1.012,23
Mn2CrGe,Mn,Cr,Ge,xa,-0.015808,-0.1302905,5.829713573,115.774,1039.5,9.4294,0.885961,2.895,-1.082,-1.811,0.061,0.063,24
Mn2CrIn,Mn,Cr,In,l21,0.238373,0.16833175,6.289717647,15.7203,892.502,8.0815,0.622832,3.322,3.322,-2.933,-0.013,3.698,23
Mn2CrPb,Mn,Cr,Pb,l21,0.154774,0.3955355,6.435398615,122.6229,775.502,8.063,0.631477,3.399,3.399,-3.244,-0.022,3.532,24
Mn2CrSb,Mn,Cr,Sb,xa,-0.169749,0.07212875,6.0456258,49.4571,678.002,11.1836,0.988796,3.032,-0.437,-1.65,0.049,0.994,25
Mn2CrSi,Mn,Cr,Si,l21,0.341909,-0.39683075,5.583428281,4.5213,0,11.7028,0.06462,0.011,0.011,-0.009,0,0.013,24
Mn2CrSn,Mn,Cr,Sn,xa,-0.19611,0.10224425,6.114527699,155.1813,991.502,9.0753,0.901675,3.234,-1.088,-2.147,0.045,0.044,24
Mn2CuAl,Mn,Cu,Al,xa,-0.406737,-0.1788145,5.865131138,391.1564,1023,8.8074,0.530222,2.76,-2.548,0.005,-0.01,0.207,18
Mn2CuAs,Mn,Cu,As,xa,-0.041437,0.0606975,5.957325134,177.3452,255.002,9.0371,0.359867,3.271,-2.352,0.03,0.062,1.011,20
Mn2CuB,Mn,Cu,B,l21,0.073338,0.2284415,5.502243938,205.3947,1614.8,8.8085,0.338847,2.459,2.459,0.143,-0.161,4.9,18
Mn2CuBi,Mn,Cu,Bi,xa,-0.07251,0.34871125,6.457676721,428.6838,436.502,8.4251,0.360683,3.583,-3.205,0.004,0.029,0.411,20
Mn2CuGa,Mn,Cu,Ga,xa,-0.256362,-0.11470675,5.903787251,602.7853,1117.5,7.3305,0.516103,3.045,-2.743,0.024,-0.02,0.306,18
Mn2CuGe,Mn,Cu,Ge,xa,-0.104476,-0.04360675,5.921942925,788.9166,583.502,8.5603,0.428887,3.142,-2.6,0.011,0.036,0.589,19
Mn2CuIn,Mn,Cu,In,xa,-0.375809,0.06457825,6.2150401,130.6094,1084.5,7.6023,0.288849,3.417,-3.211,0.022,-0.037,0.191,18
Mn2CuPb,Mn,Cu,Pb,xa,-0.20981,0.30290525,6.361924563,69.0391,694.502,7.7779,0.363064,3.57,-3.218,0.021,0.016,0.389,19
Mn2CuSb,Mn,Cu,Sb,xa,-0.05843,0.1315835,6.191052209,696.2802,220.502,9.959,0.514492,3.398,-2.398,0.022,0.062,1.084,20
Mn2CuSi,Mn,Cu,Si,xa,-0.009347,-0.16379775,5.741386037,306.9731,441.002,10.0836,1,2.715,-1.741,-0.018,0.02,0.976,19
Mn2CuSn,Mn,Cu,Sn,xa,-0.253323,0.0431055,6.209698615,448.942,699.002,8.2749,0.31046,3.392,-2.967,0.012,0.022,0.459,19
Mn2FeAl,Mn,Fe,Al,xa,-0.40577,-0.22576925,5.730919442,131.3661,492.002,9.7859,0.982127,2.616,-1.698,0.091,0.007,1.016,25
Mn2FeAs,Mn,Fe,As,xa,-0.340296,-0.1239005,5.705060547,131.1096,229.502,10.9196,0.997966,2.73,-0.636,0.822,0.033,2.949,27
Mn2FeB,Mn,Fe,B,xa,-0.108576,-0.01234075,5.345479778,223.9116,772.502,10.4271,0.926624,2.054,-0.961,-0.045,0.037,1.085,25
Mn2FeBi,Mn,Fe,Bi,xa,-0.601018,0.4191205,6.307610277,39.4057,1529,9.4633,0.469137,-3.458,3.022,1.964,-0.057,1.471,27
Mn2FeGa,Mn,Fe,Ga,xa,-0.384545,-0.14798225,5.758086485,335.2739,618.002,8.3385,0.943142,2.776,-1.934,0.169,0.001,1.012,25
Mn2FeGe,Mn,Fe,Ge,xa,-0.427216,-0.19956225,5.713707049,87.0459,253.502,9.8625,0.904469,2.615,-1.132,0.494,0.01,1.987,26
Mn2FeIn,Mn,Fe,In,xa,-0.745125,0.16152275,6.089930283,464.2393,697.502,8.354,0.590833,3.04,-2.935,1.161,-0.054,1.212,25
Mn2FePb,Mn,Fe,Pb,xa,-0.48639,0.40728425,6.263615507,7.0919,247.502,8.5085,0.025054,-3.525,3.024,1.884,-0.076,1.307,26
Mn2FeSb,Mn,Fe,Sb,xa,-0.643275,0.11746525,5.969652834,248.2469,0,11.5823,0.285901,3.144,-2.128,-0.792,0.065,0.289,27
Mn2FeSi,Mn,Fe,Si,xa,-0.385263,-0.426734,5.590828861,107.9203,121.502,11.2438,0.840289,2.364,-0.722,0.347,0.011,2,26
Mn2FeSn,Mn,Fe,Sn,xa,-0.669574,0.032429,6.027327291,217.3353,402.002,9.3715,0.964722,2.983,-2.118,1.116,-0.026,1.955,26
Mn2HfAl,Mn,Hf,Al,l21,1.467987,-0.316098,6.113553306,565.3193,1065,7.855,0.949686,1.688,1.688,-0.268,-0.044,3.064,21
Mn2HfAs,Mn,Hf,As,l21,0.689088,-0.206761,6.007299199,102.0592,154.502,8.99,0.937301,0.571,0.571,-0.115,-0.024,1.003,23
Mn2HfB,Mn,Hf,B,l21,0.395416,0.15683575,5.765798191,388.4215,843.002,7.9311,0.799819,1.614,1.614,-0.159,-0.077,2.992,21
Mn2HfBi,Mn,Hf,Bi,l21,1.19932,0.17704025,6.356655203,115.938,100.502,9.0485,0.948215,0.608,0.608,-0.174,-0.032,1.01,23
Mn2HfGa,Mn,Hf,Ga,l21,1.048624,-0.2504395,6.103748564,853.9452,972.002,6.821,0.845501,1.699,1.699,-0.299,-0.101,2.998,21
Mn2HfGe,Mn,Hf,Ge,l21,0.894179,-0.27104775,6.047682067,19.4163,759.002,8.109,0.971566,1.122,1.122,-0.191,-0.05,2.003,22
Mn2HfIn,Mn,Hf,In,l21,1.096225,-0.04475,6.424493614,80.3147,1078.5,7.0549,0.328657,2.538,2.538,-0.514,-0.157,4.405,21
Mn2HfPb,Mn,Hf,Pb,l21,0.680296,0.1865565,6.365355445,546.4962,457.502,7.9815,0.975736,1.198,1.198,-0.303,-0.075,2.018,22
Mn2HfSb,Mn,Hf,Sb,l21,1.536271,-0.181906,6.22853594,43.8288,142.502,9.7788,0.948942,0.586,0.586,-0.145,-0.023,1.004,23
Mn2HfSi,Mn,Hf,Si,l21,1.200524,-0.42030075,5.958457919,214.2163,841.502,9.0481,0.974841,1.099,1.099,-0.144,-0.039,2.015,22
Mn2HfSn,Mn,Hf,Sn,l21,1.022149,-0.1567425,6.278064527,173.703,0,8.0913,0.995622,1.165,1.165,-0.254,-0.072,2.004,22
Mn2IrAl,Mn,Ir,Al,xa,-1.518312,-0.48193875,5.919907872,145.3667,268.502,9.7056,1,3.043,-1.353,0.237,0.015,1.942,26
Mn2IrAs,Mn,Ir,As,xa,-0.906913,-0.06742125,6.117210463,532.6686,0,9.1629,0.405786,3.368,-3.32,-0.044,0.014,0.018,28
Mn2IrB,Mn,Ir,B,xa,-1.649707,-0.02519025,5.594821186,178.7588,513.002,10.0215,0.849501,2.597,-0.772,0.076,0.053,1.954,26
Mn2IrBi,Mn,Ir,Bi,xa,-0.28233,0.227154,6.499089137,1114.1568,0,8.9247,0.061837,-3.634,3.619,0.07,0.004,0.059,28
Mn2IrGa,Mn,Ir,Ga,xa,-1.436083,-0.33233975,5.94927543,249.4632,0,8.4109,0.693571,3.15,-1.513,0.24,0.032,1.909,26
Mn2IrGe,Mn,Ir,Ge,xa,-1.135937,-0.2136625,6.037133448,156.2768,0,9.0565,0.493595,3.286,-2.903,0.085,0.051,0.519,27
Mn2IrIn,Mn,Ir,In,xa,-0.299631,-0.08840125,6.29357845,49.2577,0,8.1,0.0477,3.611,-3.24,0.187,0.054,0.612,26
Mn2IrPb,Mn,Ir,Pb,xa,-0.473655,0.19190125,6.411125053,101.2732,216.002,8.2633,0.306667,3.625,-3.445,0.027,0.031,0.238,27
Mn2IrSb,Mn,Ir,Sb,xa,-0.614416,-0.02621175,6.315002371,419.2552,0,10.1515,0.567318,3.461,-3.368,-0.033,0.024,0.084,28
Mn2IrSi,Mn,Ir,Si,xa,-1.363557,-0.448474,5.82344295,341.2688,207.002,10.8799,1,2.959,-0.234,0.16,0.024,2.909,27
Mn2IrSn,Mn,Ir,Sn,xa,-0.730104,-0.131538,6.289987762,0.48,654.002,8.7094,0.348187,3.52,-3.26,0.051,0.036,0.347,27
Mn2MnAl,Mn,Mn,Al,xa,-0.000129,-0.22837775,5.776332668,703.0502,444.002,9.6241,1,2.747,-1.378,-1.378,0.021,0.012,24
Mn2MnAs,Mn,Mn,As,xa,-0.000184,-0.186648,5.703229141,121.4593,0,10.8518,0.906045,2.545,-0.328,-0.328,0.045,1.934,26
Mn2MnB,Mn,Mn,B,l21,0.000154,-0.04961125,5.378701069,294.4402,969.002,10.2625,0.886601,-1,-1,2.017,0.066,0.083,24
Mn2MnBi,Mn,Mn,Bi,l21,0.000104,0.3615405,6.426989701,373.2359,1098,8.9316,0.599829,3.071,3.071,-3.579,-0.073,2.49,26
Mn2MnGa,Mn,Mn,Ga,xa,-0.000143,-0.16484725,5.805161412,777.3299,493.502,8.1561,0.953345,-2.978,1.514,1.513,-0.047,0.002,24
Mn2MnGe,Mn,Mn,Ge,l21,0,-0.21555075,5.747076832,17.5349,228.002,9.6559,0.904037,-0.917,-0.917,2.747,0.051,0.964,25
Mn2MnIn,Mn,Mn,In,xa,-0.000172,0.1334875,6.264704452,324.5666,216.002,7.8623,0.658506,-3.557,3.052,3.052,-0.105,2.442,24
Mn2MnPb,Mn,Mn,Pb,xa,-0.000141,0.33693,6.400833821,462.9888,151.502,8.0213,0.039563,-3.569,3.258,3.258,-0.074,2.873,25
Mn2MnSb,Mn,Mn,Sb,xa,-0.000006,0.0045035,5.965736876,99.368,201.002,11.4104,0.982443,2.856,-0.475,-0.476,0.034,1.939,26
Mn2MnSi,Mn,Mn,Si,xa,-0.000082,-0.42916525,5.634549273,483.0023,211.502,10.8779,0.943601,2.541,-0.798,-0.798,0.045,0.99,25
Mn2MnSn,Mn,Mn,Sn,xa,-0.000063,0.04489175,6.026292087,11.4683,1478.4,9.3546,0.998141,3.119,-1.114,-1.107,0.042,0.94,25
Mn2MoAl,Mn,Mo,Al,l21,0.801741,-0.25578125,5.875947043,210.5579,118.502,10.6659,0.821071,0.674,0.674,-0.309,-0.012,1.027,23
Mn2MoAs,Mn,Mo,As,xa,-0.462219,-0.04069275,5.969903149,25.5803,0,10.6292,0.80521,2.657,-1.308,-0.467,0.068,0.95,25
Mn2MoB,Mn,Mo,B,l21,0.249697,0.1354585,5.58241429,228.52,421.502,11.0002,0.699344,0.599,0.599,-0.208,-0.025,0.965,23
Mn2MoBi,Mn,Mo,Bi,xa,-0.518151,0.47862475,6.394021554,108.2114,43.5015,10.1032,0.955784,3.195,-1.984,-0.408,0.061,0.864,25
Mn2MoGa,Mn,Mo,Ga,l21,0.601979,-0.13431975,5.886062913,16.141,88.5015,9.4415,0.845961,0.662,0.662,-0.324,-0.025,0.975,23
Mn2MoGe,Mn,Mo,Ge,l21,0.305851,-0.12105125,5.863985625,13.1445,0,10.7658,0.001414,0,0,0,0,0,24
Mn2MoIn,Mn,Mo,In,l21,0.339265,0.20790925,6.110744678,232.2041,0,9.897,0.807274,0.724,0.724,-0.424,-0.025,0.999,23
Mn2MoPb,Mn,Mo,Pb,xa,-0.308076,0.47895175,6.397599514,361.9592,360.002,8.8962,0.886065,3.236,-2.669,-0.609,0.055,0.013,24
Mn2MoSb,Mn,Mo,Sb,xa,-0.219939,0.123099,6.175420907,11.3564,0,11.4645,0.946668,2.874,-1.48,-0.495,0.054,0.953,25
Mn2MoSi,Mn,Mo,Si,l21,0.563862,-0.352327,5.772224378,27.2599,0,11.9308,0.000316,0.001,0.001,0,0,0.002,24
Mn2MoSn,Mn,Mo,Sn,l21,0.216627,0.097069,6.085659358,0.7163,0,10.5054,0.016079,0.001,0.001,-0.001,0,0.001,24
Mn2NbAl,Mn,Nb,Al,l21,1.180937,-0.3207375,6.002277326,42.0233,240.002,8.2665,1,1.213,1.213,-0.415,-0.025,1.986,22
Mn2NbAs,Mn,Nb,As,l21,0.497258,-0.1492275,5.933702111,3.776,0,9.4908,0.001883,0,0,0,0,0,24
Mn2NbB,Mn,Nb,B,l21,0.512175,0.1045415,5.686924672,85.0441,571.502,8.3234,0.930046,1.148,1.148,-0.296,-0.049,1.951,22
Mn2NbBi,Mn,Nb,Bi,l21,0.371776,0.31244125,6.504857714,841.1539,690.002,8.5451,0.680558,2.924,2.924,-1.045,-0.045,4.758,24
Mn2NbGa,Mn,Nb,Ga,l21,0.926396,-0.236223,5.999023221,189.0459,178.502,7.1672,0.971452,1.223,1.223,-0.434,-0.055,1.957,22
Mn2NbGe,Mn,Nb,Ge,l21,0.84101,-0.241523,5.965275843,82.4478,106.502,8.3675,0.910085,0.614,0.614,-0.23,-0.025,0.973,23
Mn2NbIn,Mn,Nb,In,l21,0.842057,0.03764125,6.229880857,277.8181,0,7.8042,0.766263,1.346,1.346,-0.587,-0.073,2.032,22
Mn2NbPb,Mn,Nb,Pb,l21,0.348178,0.3260835,6.266448177,473.3505,88.5015,8.4847,0.045251,1.735,1.735,-0.701,-0.082,2.687,23
Mn2NbSb,Mn,Nb,Sb,l21,0.739958,-0.085851,6.14861166,0.9113,0,10.3303,0.000764,0,0,0,0,0,24
Mn2NbSi,Mn,Nb,Si,l21,1.157354,-0.423637,5.876579196,0.6766,111.002,9.3575,0.930522,0.598,0.598,-0.191,-0.019,0.986,23
Mn2NbSn,Mn,Nb,Sn,l21,0.849979,-0.08009425,6.183073217,45.3971,135.002,8.378,0.965536,0.653,0.653,-0.288,-0.032,0.986,23
Mn2NiAl,Mn,Ni,Al,xa,-0.622586,-0.318241,5.785954977,155.2624,630.002,9.3052,0.565353,2.927,-2.064,0.3,0.003,1.166,27
Mn2NiAs,Mn,Ni,As,xa,-0.33049,-0.10802975,5.863675912,105.9621,0,9.4784,0.001396,3.202,-2.43,0.03,0.04,0.842,29
Mn2NiB,Mn,Ni,B,xa,-0.289823,0.04378825,5.398864926,141.285,882.002,9.8447,0.549364,2.541,-1.238,0.374,0.037,1.714,27
Mn2NiBi,Mn,Ni,Bi,xa,-0.383754,0.23062875,6.326058693,363.1136,0,8.9403,0.167113,3.55,-3.147,0.1,0.028,0.531,29
Mn2NiGa,Mn,Ni,Ga,xa,-0.426337,-0.23953425,5.81709596,63.262,577.502,7.7612,0.600961,3.108,-2.296,0.323,0.006,1.141,27
Mn2NiGe,Mn,Ni,Ge,xa,-0.469452,-0.19621675,5.828736352,18.3463,420.002,8.9164,0.415814,3.093,-2.35,0.111,0.03,0.884,28
Mn2NiIn,Mn,Ni,In,xa,-0.406838,-0.0173475,6.139733228,30.7105,636.002,7.9338,0.064058,3.473,-3.132,0.148,-0.015,0.474,27
Mn2NiPb,Mn,Ni,Pb,xa,-0.43906,0.2084945,6.259808444,196.2047,589.502,8.1105,0.206385,3.513,-3.222,0.101,0.002,0.394,28
Mn2NiSb,Mn,Ni,Sb,xa,-0.515756,-0.03892725,6.117407038,103.0227,0,10.2585,0.339765,3.327,-2.735,0.028,0.041,0.661,29
Mn2NiSi,Mn,Ni,Si,xa,-0.610234,-0.3488275,5.678736376,10.6819,0,10.4479,0.353641,2.744,-1.751,0.048,0.02,1.061,28
Mn2NiSn,Mn,Ni,Sn,xa,-0.523394,-0.07643425,6.124809032,11.1373,630.002,8.5221,0.386947,3.364,-2.942,0.105,0.009,0.536,28
Mn2PdAl,Mn,Pd,Al,xa,-0.649436,-0.363451,6.060046536,45.5577,532.502,9.2953,0.173364,3.471,-2.827,0.106,0.014,0.764,27
Mn2PdAs,Mn,Pd,As,xa,-0.163103,-0.1342945,6.164052044,335.6059,0,9.2118,0.07234,3.611,-3.134,0.066,0.042,0.585,29
